ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2
232,50000,7,3.32,29.1,50,118.6,3,120,330,380,16500,45068,5930,2500,108900,144400,14065.96
233,45000,6,3.32,29.1,40,42.38,2,140,690,500,27600,21190,1695.2,1600,476100,250000,1796.0644
234,95000,9,3.32,29.1,20,100.9,4,200,320,370,6400,37333,2018,400,102400,136900,10180.81
235,50000,6,3.32,29.1,40,66.73,2,140,480,300,19200,20019,2669.2,1600,230400,90000,4452.8929
236,65000,8,3.32,29.1,40,172.24,4,160,210,260,8400,44782.4,6889.6,1600,44100,67600,29666.6176
237,90000,9,3.32,29.1,20,201.09,7,200,165,210,3300,42228.9,4021.8,400,27225,44100,40437.1881
238,90000,9,3.32,29.1,20,234.88,6,200,200,250,4000,58720,4697.6,400,40000,62500,55168.6144
239,55000,6,3.32,29.1,40,223.29,7,140,330,380,13200,84850.2,8931.6,1600,108900,144400,49858.4241
240,105000,6,3.32,29.1,20,251.73,10,200,285,330,5700,83070.9,5034.6,400,81225,108900,63367.9929
241,55000,6,3.32,29.1,40,304.38,17,140,220,270,8800,82182.6,12175.2,1600,48400,72900,92647.1844
242,105000,9,3.32,29.1,20,367.9,14,200,285,330,5700,121407,7358,400,81225,108900,135350.41
243,95000,9,3.32,29.1,20,369.86,18,200,285,330,5700,122053.8,7397.2,400,81225,108900,136796.4196
244,100000,6,3.32,29.1,20,438.77,15,200,270,320,5400,140406.4,8775.4,400,72900,102400,192519.1129
245,90000,9,3.32,29.1,20,446.23,0,200,165,210,3300,93708.3,8924.6,400,27225,44100,199121.2129
